# Tutoriel quelques effets d'animation
#scene d'exposition
2,300,500,400,500,0,-650,-600,-30,0,"Voici une présentation"
3,300,500,400,500,0,-650,-600,-30,0,"de certains effets d'animation."
3,300,500,400,500,0,-650,-600,-30,0,"Le mouvement de base est le suivant"
# mouvement sans effet
3,300,500,400,900,0,-650,-600,-30,0," "
1,300,500,400,900,0,-650,-600,-30,0," "
1,300,500,400,900,0,-650,-600,-30,0,"Ce mouvement est linéaire."
1,300,500,400,900,0,-650,-600,-30,0,"Sans effet."
3,300,500,400,500,0,-650,-600,-30,0,"Voici le mouvement avec une"
3,300,500,400,500,0,-650,-600,-30,0,"anticipation"
3,300,500,400,500,0,-650,-600,-30,0,"comme si on tirait un ressort"
2,300,500,400,500,0,-650,-600,-30,0," "
# retour au debut
0.1,300,500,400,500,0,-650,-600,-30,0," "
#anticipation
0.2,300,500,400,450,0,-650,-600,-30,0," "
0.3,300,500,400,450,0,-650,-600,-30,0," "
# mouvement avec fondu
0.5,300,500,400,700,0,-650,-600,-30,0," "
1.0,300,500,400,900,0,-650,-600,-30,0," "
